Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DISCO CHEESE & ONION,,,,,,,,,,,0,,,,2,,,1,,0,,,2,,1,,,,0,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-306,,,0,,14.81,,
,,,,,,,,WALKERS PRAWN COCKTAIL,,,,,,,,,,,0,,,,1,,,1,,1,,,0,,1,,,,2,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-125,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS SALT & VINEGAR TWIRLS,,,,,,,,,,,0,,,,0,,,4,,0,,,2,,0,,,,0,,,,,6,,,,4.05,,,,3.900,,,0.15,,,-145,,,0,,3.70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER LANDO NORRIS,,,,,,,,,,,2,,,,1,,,0,,1,,,0,,0,,,,2,,,,,6,,,,9.90,,,,8.700,,,1.20,,,-227,,,0,,12.12,,
,,,,,,,,RUSTLERS HOTDOG,,,,,,,,,,,0,,,,0,,,1,,2,,,1,,2,,,,0,,,,,6,,,,9.60,,,,8.400,,,1.20,,,-177,,,0,,12.50,,
,,,,,,,,BOOST ORANGE,,,,,,,,,,,0,,,,1,,,0,,1,,,0,,2,,,,2,,,,,6,,,,5.34,,,,4.140,,,1.20,,,-300,,,0,,22.47,,
,,,,,,,,MCVITIES MILK CHOC DIGESTIVES,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,1,,,,3,,,,,6,,,,13.50,,,,12.300,,,1.20,,,-127,,,0,,8.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HIGHLAND SPRING WATER,,,,,,,,500ml,,,0,,,,1,,,0,,1,,,1,,1,,,,1,,,,,5,,,,3.95,,,,2.950,,,1.00,,,-477,,,0,,25.32,,
,,,,,,,,BOBBYS SNAKE WINDER STRAWBERRY,,,,,,,,,,,0,,,,2,,,3,,0,,,0,,0,,,,0,,,,,5,,,,2.50,,,,0.950,,,1.55,,,-2611,,,0,,62.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ES MIXED FREE RANGE EGGS 15PK,,,,,,,,,,,0,,,,0,,,1,,2,,,2,,0,,,,0,,,,,5,,,,19.75,,,,13.300,,,6.45,,,-672,,,0,,32.66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BOBBYS ONION RINGS,,,,,,,,,,,0,,,,0,,,1,,0,,,2,,1,,,,1,,,,,5,,,,3.45,,,,2.450,,,1.00,,,-25,,,0,,28.99,,
,,,,,,,,IRN BRU 500ML,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,3,,,,,5,,,,6.45,,,,5.450,,,1.00,,,-8,,,0,,15.50,,
,,,,,,,,REDBULL JUNEBERRY,,,,,,,,,,,1,,,,0,,,1,,1,,,0,,2,,,,0,,,,,5,,,,8.75,,,,7.750,,,1.00,,,-9,,,0,,11.43,,
,,,,,,,,MCCOYS S&V 140G,,,,,,,,,,,0,,,,0,,,1,,2,,,1,,1,,,,0,,,,,5,,,,8.75,,,,7.750,,,1.00,,,-8,,,0,,11.43,,
,,,,,,,,EURO ENEGRY 4PK,,,,,,,,,,,3,,,,0,,,0,,2,,,0,,0,,,,0,,,,,5,,,,9.75,,,,8.750,,,1.00,,,-119,,,0,,10.26,,
,,,,,,,,RUSTLERS QUARTER POUNDER,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,1,,,,1,,,,,5,,,,13.00,,,,12.000,,,1.00,,,-168,,,0,,7.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AERO BUBBLES,,,,,,,,,,,0,,,,1,,,2,,1,,,0,,1,,,,0,,,,,5,,,,8.25,,,,7.250,,,1.00,,,-101,,,0,,12.12,,
,,,,,,,,AREO PEPPERMINT,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,1,,,,2,,,,,5,,,,8.25,,,,7.250,,,1.00,,,-96,,,0,,12.12,,
,,,,,,,,COCA COLA 8PK,,,,,,,,,,,1,,,,2,,,1,,0,,,1,,0,,,,0,,,,,5,,,,29.95,,,,28.950,,,1.00,,,-110,,,0,,3.34,,
,,,,,,,,BARR CREAM SODA,,,,,,,,500ml,,,0,,,,0,,,1,,0,,,2,,1,,,,1,,,,,5,,,,5.00,,,,4.000,,,1.00,,,-434,,,0,,20.00,,
,,,,,,,,BODYFORM GOODNIGHT 8 ULTRA LARGE,,,,,,,,,,,3,,,,0,,,0,,0,,,0,,0,,,,2,,,,,5,,,,7.45,,,,8.450,,,-1.00,,,-99,,,0,,-13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRN BRU 12PK CAN,,,,,,,,,,,2,,,,1,,,1,,0,,,0,,1,,,,0,,,,,5,,,,25.00,,,,24.000,,,1.00,,,-865,,,0,,4.00,,
,,,,,,,,WALKERS SENSATIONS THAI SWEET CHILL,,,,,,,,,,,0,,,,1,,,0,,1,,,2,,0,,,,1,,,,,5,,,,6.75,,,,5.750,,,1.00,,,-216,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCCOYS HOT N SPICY,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,3,,,,,5,,,,6.75,,,,5.750,,,1.00,,,-90,,,0,,14.81,,
,,,,,,,,BARISTA CAFFE,,,,,,,,,,,0,,,,5,,,0,,0,,,0,,0,,,,0,,,,,5,,,,5.50,,,,4.500,,,1.00,,,-5,,,0,,18.18,,
,,,,,,,,IRN BRU DIET 500ML,,,,,,,,,,,0,,,,1,,,0,,2,,,1,,1,,,,0,,,,,5,,,,6.45,,,,5.450,,,1.00,,,-11,,,0,,15.50,,
,,,,,,,,DIET COKE 500ML,,,,,,,,,,,0,,,,0,,,2,,2,,,1,,0,,,,0,,,,,5,,,,7.00,,,,6.000,,,1.00,,,-184,,,0,,14.29,,
,,,,,,,,BRAIN LICKER,,,,,,,,,,,1,,,,1,,,1,,1,,,0,,0,,,,1,,,,,5,,,,7.45,,,,6.450,,,1.00,,,-9,,,0,,13.42,,
,,,,,,,,BARR PINEAPPLE 2L,,,,,,,,,,,1,,,,1,,,2,,0,,,1,,0,,,,0,,,,,5,,,,6.95,,,,5.950,,,1.00,,,-9,,,0,,14.39,,
,,,,,,,,REDBULL SF,,,,,,,,,,,0,,,,0,,,1,,2,,,1,,0,,,,1,,,,,5,,,,8.50,,,,7.500,,,1.00,,,-17,,,0,,11.76,,
,,,,,,,,BOBBYS BEEF GRILLS,,,,,,,,,,,0,,,,1,,,1,,1,,,2,,0,,,,0,,,,,5,,,,3.45,,,,2.450,,,1.00,,,-16,,,0,,28.99,,
,,,,,,,,IRN BRU GLASS,,,,,,,,,,,0,,,,3,,,1,,1,,,0,,0,,,,0,,,,,5,,,,8.45,,,,7.450,,,1.00,,,-204,,,0,,11.83,,
,,,,,,,,REDBULL SF,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,0,,,,3,,,,,5,,,,10.75,,,,9.750,,,1.00,,,-24,,,0,,9.30,,
,,,,,,,,MONSTER BAD APPLE,,,,,,,,,,,0,,,,2,,,1,,0,,,0,,2,,,,0,,,,,5,,,,8.75,,,,7.750,,,1.00,,,-48,,,0,,11.43,,
,,,,,,,,NESTLE MILKYBAR,,,,,,,,,,,0,,,,1,,,0,,0,,,3,,1,,,,0,,,,,5,,,,4.45,,,,3.450,,,1.00,,,-187,,,0,,22.47,,
,,,,,,,,BARR DIET LEMONADE,,,,,,,,,,,0,,,,2,,,0,,1,,,0,,0,,,,1,,,,,4,,,,5.56,,,,4.760,,,0.80,,,-11,,,0,,14.39,,
,,,,,,,,BARR COLA 2L,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,0,,,,2,,,,,4,,,,5.28,,,,4.760,,,0.52,,,-5,,,0,,9.85,,
,,,,,,,,MOUNTAIN DEW,,,,,,,,,,,0,,,,3,,,0,,0,,,1,,0,,,,0,,,,,4,,,,4.00,,,,3.200,,,0.80,,,-31,,,0,,20.00,,
,,,,,,,,AERO CARAMEL,,,,,,,,,,,0,,,,2,,,1,,0,,,0,,0,,,,1,,,,,4,,,,6.60,,,,5.800,,,0.80,,,-19,,,0,,12.12,,
,,,,,,,,COCA COLA CHERRY,,,,,,,,1.75L,,,0,,,,0,,,0,,2,,,2,,0,,,,0,,,,,4,,,,11.16,,,,10.360,,,0.80,,,-57,,,0,,7.17,,
,,,,,,,,OREO DOUBLE CREME.,,,,,,,,,,,2,,,,0,,,0,,0,,,0,,2,,,,0,,,,,4,,,,5.16,,,,4.360,,,0.80,,,-248,,,0,,15.50,,
,,,,,,,,FOX'S CLASSIC 5 PK.,,,,,,,,,,,0,,,,0,,,2,,1,,,1,,0,,,,0,,,,,4,,,,5.56,,,,4.360,,,1.20,,,-208,,,0,,21.58,,
,,,,,,,,BARR CREAM SODA,,,,,,,,,,,0,,,,0,,,0,,1,,,2,,0,,,,1,,,,,4,,,,2.76,,,,1.960,,,0.80,,,-190,,,0,,28.99,,
,,,,,,,,RUSTLERS BBQ RIB,,,,,,,,,,,0,,,,2,,,1,,0,,,1,,0,,,,0,,,,,4,,,,10.00,,,,9.200,,,0.80,,,-172,,,0,,8.00,,
,,,,,,,,POT NOODLE BOMBAY BAD BOY.,,,,,,,,,,,1,,,,1,,,0,,1,,,1,,0,,,,0,,,,,4,,,,5.96,,,,5.160,,,0.80,,,-286,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E/S SMOKED RINDLESS BACON,,,,,,,,,,,2,,,,0,,,0,,0,,,0,,1,,,,1,,,,,4,,,,5.16,,,,4.360,,,0.80,,,-192,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,URBAN CRUST WRAP,,,,,,,,,,,0,,,,0,,,2,,0,,,0,,0,,,,2,,,,,4,,,,9.16,,,,8.360,,,0.80,,,-525,,,0,,8.73,,
,,,,,,,,GRAHAMS 568ML SEMI SKIM,,,,,,,,,,,2,,,,0,,,1,,1,,,0,,0,,,,0,,,,,4,,,,3.56,,,,2.760,,,0.80,,,-43,,,0,,22.47,,
,,,,,,,,BOBBYS GARLIC BREAD SNAX,,,,,,,,,,,0,,,,2,,,0,,2,,,0,,0,,,,0,,,,,4,,,,5.00,,,,4.200,,,0.80,,,-12,,,0,,16.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SAMYANG CARBO,,,,,,,,,,,2,,,,2,,,0,,0,,,0,,0,,,,0,,,,,4,,,,13.96,,,,13.160,,,0.80,,,-15,,,0,,5.73,,
,,,,,,,,MONSTER RIO PUNCH,,,,,,,,,,,0,,,,0,,,1,,2,,,0,,1,,,,0,,,,,4,,,,7.00,,,,6.200,,,0.80,,,-466,,,0,,11.43,,
,,,,,,,,BARR LIMEADE,,,,,,,,,,,1,,,,0,,,2,,1,,,0,,0,,,,0,,,,,4,,,,4.00,,,,3.200,,,0.80,,,-412,,,0,,20.00,,
,,,,,,,,MIKE AND IKE ORANGE,,,,,,,,,,,0,,,,0,,,0,,1,,,3,,0,,,,0,,,,,4,,,,2.00,,,,1.200,,,0.80,,,-71,,,0,,40.00,,
,,,,,,,,LUCOZADE ZERO PINK LEMONADE,,,,,,,,,,,0,,,,0,,,1,,1,,,1,,1,,,,0,,,,,4,,,,6.00,,,,5.200,,,0.80,,,-284,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S SMOKED BACK BACON RASHERS,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,1,,,,1,,,,,4,,,,8.76,,,,7.960,,,0.80,,,-758,,,0,,9.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS APPLE & BLACKCURRANT SQAUSH,,,,,,,,1.5L,,,0,,,,1,,,1,,0,,,1,,1,,,,0,,,,,4,,,,7.96,,,,7.160,,,0.80,,,-305,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RIBENA 500ML,,,,,,,,,,,1,,,,0,,,1,,2,,,0,,0,,,,0,,,,,4,,,,5.40,,,,4.600,,,0.80,,,-291,,,0,,14.81,,
,,,,,,,,WALKERS SQUARES C & O,,,,,,,,,,,0,,,,2,,,0,,0,,,0,,2,,,,0,,,,,4,,,,5.40,,,,4.200,,,1.20,,,-235,,,0,,22.22,,
,,,,,,,,FANTA ORANGE 2L,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,2,,,,0,,,,,4,,,,8.60,,,,7.800,,,0.80,,,-89,,,0,,9.30,,
,,,,,,,,BOOST ENERGY ORIGINAL,,,,,,,,250ml,,,0,,,,0,,,0,,4,,,0,,0,,,,0,,,,,4,,,,3.00,,,,2.200,,,0.80,,,-523,,,0,,26.67,,
,,,,,,,,BRANDY CHICKEN & TURKEY IN JELLY,,,,,,,,,,,0,,,,0,,,0,,0,,,4,,0,,,,0,,,,,4,,,,3.96,,,,3.160,,,0.80,,,-85,,,0,,20.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CADBURY CARAMEL EGGS 5PK,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,1,,,,1,,,,,4,,,,12.00,,,,7.160,,,4.84,,,-271,,,0,,40.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DOMESTOS,,,,,,,,,,,0,,,,1,,,0,,1,,,0,,1,,,,1,,,,,4,,,,5.40,,,,4.600,,,0.80,,,-23,,,0,,14.81,,
,,,,,,,,PEPERAMI FIRESTICK,,,,,,,,,,,1,,,,0,,,0,,1,,,0,,0,,,,2,,,,,4,,,,4.25,,,,4.200,,,0.05,,,-232,,,0,,1.18,,
,,,,,,,,COCA COLA ZERO 500ML,,,,,,,,,,,1,,,,1,,,1,,1,,,0,,0,,,,0,,,,,4,,,,5.60,,,,4.800,,,0.80,,,-159,,,0,,14.29,,
,,,,,,,,BARR TIZER,,,,,,,,500ML,,,0,,,,1,,,2,,0,,,1,,0,,,,0,,,,,4,,,,4.00,,,,3.200,,,0.80,,,-98,,,0,,20.00,,
,,,,,,,,MONSTER JUICED KHAOTIC,,,,,,,,,,,1,,,,2,,,0,,0,,,1,,0,,,,0,,,,,4,,,,7.00,,,,6.200,,,0.80,,,-89,,,0,,11.43,,
,,,,,,,,DAIRYLEA DUNKERS,,,,,,,,,,,1,,,,2,,,0,,0,,,0,,1,,,,0,,,,,4,,,,3.60,,,,2.800,,,0.80,,,-257,,,0,,22.22,,
,,,,,,,,ANCHOR BUTTER,,,,,,,,,,,0,,,,0,,,0,,2,,,2,,0,,,,0,,,,,4,,,,6.18,,,,9.200,,,-3.02,,,-30,,,0,,-48.87,,
,,,,,,,,KING POT NOODLE CHICKEN & MUSHROOM,,,,,,,,,,,0,,,,2,,,0,,0,,,1,,0,,,,1,,,,,4,,,,8.36,,,,6.360,,,2.00,,,-68,,,0,,23.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OREO CREME EGG,,,,,,,,,,,2,,,,0,,,0,,0,,,0,,0,,,,2,,,,,4,,,,6.00,,,,5.200,,,0.80,,,-50,,,0,,13.33,,
,,,,,,,,TAKI INTNSE NACHO,,,,,,,,,,,0,,,,0,,,1,,0,,,2,,0,,,,1,,,,,4,,,,5.00,,,,4.200,,,0.80,,,-71,,,0,,16.00,,
,,,,,,,,MCCOYS SALT AND VINEGAR,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,2,,,,,4,,,,5.40,,,,4.600,,,0.80,,,-208,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FANTA FRUIT TWIST,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,2,,,,0,,,,,4,,,,8.60,,,,7.800,,,0.80,,,-48,,,0,,9.30,,
,,,,,,,,COCA COLA CHERRY,,,,,,,,,,,0,,,,0,,,3,,0,,,0,,0,,,,1,,,,,4,,,,7.16,,,,6.360,,,0.80,,,-119,,,0,,11.17,,
,,,,,,,,JACKS MULTIPURPOSE HOUSEHOLD,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,3,,,,,4,,,,7.96,,,,7.160,,,0.80,,,-59,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS MAX PAPRIKA,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,1,,,,2,,,,,4,,,,5.40,,,,4.600,,,0.80,,,-98,,,0,,14.81,,
,,,,,,,,DAILY CROISSANT CHOCOLATE.,,,,,,,,,,,0,,,,0,,,1,,0,,,3,,0,,,,0,,,,,4,,,,3.16,,,,1.850,,,1.31,,,-1374,,,0,,41.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DETTOL ANTIBAC WIPES 30 LARGE.,,,,,,,,,,,0,,,,2,,,0,,2,,,0,,0,,,,0,,,,,4,,,,6.76,,,,5.960,,,0.80,,,-228,,,0,,11.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AROMA SOFT PEACH 4 ROLLS,,,,,,,,,,,1,,,,1,,,0,,0,,,1,,0,,,,1,,,,,4,,,,4.00,,,,3.200,,,0.80,,,-639,,,0,,20.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SILVER SPOON GRANULATED SUGAR 1KG.,,,,,,,,,,,1,,,,0,,,0,,1,,,0,,0,,,,2,,,,,4,,,,5.40,,,,3.160,,,2.24,,,-3064,,,0,,41.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DIET COKE,,,,,,,,2 LITRE,,,1,,,,0,,,1,,0,,,1,,1,,,,0,,,,,4,,,,9.16,,,,8.360,,,0.80,,,-499,,,0,,8.73,,
,,,,,,,,PRINGLES ORIGINAL,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,1,,,,1,,,,,4,,,,11.96,,,,11.160,,,0.80,,,-111,,,0,,6.69,,
,,,,,,,,PRINGLES BBQ,,,,,,,,,,,0,,,,0,,,0,,0,,,2,,2,,,,0,,,,,4,,,,11.96,,,,11.160,,,0.80,,,-313,,,0,,6.69,,
,,,,,,,,LOCAL LIVING VEGETABLE OIL 1 LITRE,,,,,,,,,,,1,,,,1,,,2,,0,,,0,,0,,,,0,,,,,4,,,,9.16,,,,8.360,,,0.80,,,-232,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACOBS BITES CHEDDAR AND ONION,,,,,,,,,,,0,,,,0,,,2,,1,,,0,,1,,,,0,,,,,4,,,,7.00,,,,6.200,,,0.80,,,-41,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR LEMONADE CAN,,,,,,,,330ml,,,2,,,,0,,,0,,2,,,0,,0,,,,0,,,,,4,,,,2.76,,,,1.960,,,0.80,,,-79,,,0,,28.99,,
,,,,,,,,FUNKIN STRAWBERRY,,,,,,,,,,,0,,,,1,,,0,,1,,,0,,1,,,,1,,,,,4,,,,9.56,,,,8.760,,,0.80,,,-82,,,0,,8.37,,
,,,,,,,,BARR LIMEADE 330ML,,,,,,,,,,,0,,,,4,,,0,,0,,,0,,0,,,,0,,,,,4,,,,2.76,,,,1.960,,,0.80,,,-129,,,0,,28.99,,
,,,,,,,,CHEETOS TWISTED,,,,,,,,,,,1,,,,0,,,1,,0,,,0,,1,,,,0,,,,,3,,,,4.47,,,,3.870,,,0.60,,,-175,,,0,,13.42,,
,,,,,,,,VOLVIC TOF STRAWBERRY S/F,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,0,,,,0,,,,,3,,,,5.07,,,,3.870,,,1.20,,,-19,,,0,,23.67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR GINGER BEER,,,,,,,,,,,0,,,,0,,,0,,1,,,2,,0,,,,0,,,,,3,,,,2.07,,,,1.470,,,0.60,,,-321,,,0,,28.99,,
,,,,,,,,MONSTER ULTRA PEACHY KEEN,,,,,,,,,,,0,,,,0,,,1,,1,,,0,,1,,,,0,,,,,3,,,,4.95,,,,4.350,,,0.60,,,-173,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GOLD BILLIONS,,,,,,,,,,,0,,,,0,,,1,,2,,,0,,0,,,,0,,,,,3,,,,2.37,,,,1.770,,,0.60,,,-198,,,0,,25.32,,
,,,,,,,,MILD COLOURED CHEESE,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,1,,,,0,,,,,3,,,,8.25,,,,7.650,,,0.60,,,-62,,,0,,7.27,,
,,,,,,,,FOX'S TRIPLE 7PK.,,,,,,,,,,,0,,,,2,,,0,,1,,,0,,0,,,,0,,,,,3,,,,3.87,,,,3.150,,,0.72,,,-102,,,0,,18.60,,
,,,,,,,,CHEESEY PASTA.,,,,,,,,,,,1,,,,1,,,1,,0,,,0,,0,,,,0,,,,,3,,,,5.37,,,,4.770,,,0.60,,,-906,,,0,,11.17,,
,,,,,,,,ELITE HEAVY DUTY BAGS 10PK.,,,,,,,,,,,1,,,,1,,,0,,1,,,0,,0,,,,0,,,,,3,,,,5.97,,,,5.070,,,0.90,,,-138,,,0,,15.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS MAYONNAISE.,,,,,,,,,,,0,,,,0,,,0,,1,,,2,,0,,,,0,,,,,3,,,,6.87,,,,6.270,,,0.60,,,-65,,,0,,8.73,,
,,,,,,,,TIC TAC CHERRY COLA,,,,,,,,,,,0,,,,0,,,1,,2,,,0,,0,,,,0,,,,,3,,,,2.37,,,,1.470,,,0.90,,,-168,,,0,,37.97,,
,,,,,,,,FEEDING BOTTLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,3,,,,,3,,,,5.97,,,,5.370,,,0.60,,,-27,,,0,,10.05,,
,,,,,,,,JUST JUICE WITH ORANGES,,,,,,,,,,,0,,,,0,,,0,,3,,,0,,0,,,,0,,,,,3,,,,6.87,,,,5.070,,,1.80,,,-416,,,0,,26.20,,
,,,,,,,,RIBENA NAS,,,,,,,,,,,1,,,,0,,,0,,0,,,2,,0,,,,0,,,,,3,,,,4.05,,,,3.450,,,0.60,,,-36,,,0,,14.81,,
,,,,,,,,DR PEPPER,,,,,,,,355ML,,,1,,,,0,,,1,,0,,,0,,1,,,,0,,,,,3,,,,5.97,,,,4.770,,,1.20,,,-31,,,0,,20.10,,
,,,,,,,,DR PEPPER STRAWB & CREAM,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,1,,,,1,,,,,3,,,,5.97,,,,4.770,,,1.20,,,-46,,,0,,20.10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KOKA SPICY STIR FRY,,,,,,,,,,,0,,,,0,,,2,,0,,,0,,0,,,,1,,,,,3,,,,2.07,,,,1.470,,,0.60,,,-107,,,0,,28.99,,
,,,,,,,,ES INSTANT COFFEE,,,,,,,,,,,0,,,,1,,,0,,1,,,0,,0,,,,1,,,,,3,,,,5.97,,,,5.370,,,0.60,,,-51,,,0,,10.05,,
,,,,,,,,BARR LEMONADE,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,0,,,,1,,,,,3,,,,4.17,,,,3.570,,,0.60,,,-6,,,0,,14.39,,
,,,,,,,,JOHNSON'S BABY COTTON BUDS.,,,,,,,,,,,0,,,,0,,,1,,2,,,0,,0,,,,0,,,,,3,,,,4.47,,,,3.870,,,0.60,,,-179,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NESTLE  BLUE RIBAND 6PK,,,,,,,,,,,0,,,,0,,,1,,1,,,1,,0,,,,0,,,,,3,,,,3.75,,,,3.150,,,0.60,,,-5,,,0,,16.00,,
,,,,,,,,PEPSI 500ML,,,,,,,,,,,1,,,,1,,,0,,0,,,1,,0,,,,0,,,,,3,,,,4.35,,,,3.750,,,0.60,,,-26,,,0,,13.79,,
,,,,,,,,YORKIE BROWNIE DUO,,,,,,,,,,,0,,,,1,,,0,,0,,,1,,1,,,,0,,,,,3,,,,3.87,,,,3.270,,,0.60,,,-105,,,0,,15.50,,
,,,,,,,,EURO SHOPPER MILD CHEESE,,,,,,,,,,,1,,,,1,,,0,,0,,,0,,0,,,,1,,,,,3,,,,5.25,,,,4.650,,,0.60,,,-82,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
